_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,adjective_used_to_describe_the_politician_1,adjective_used_to_describe_the_politician_2,adjective_used_to_describe_the_politician_3,what_is_the_url_link_to_the_op_ed_article_blog_or_news_article,what_is_the_url_link_to_the_op_ed_article_blog_or_news_article_worker_input
625927718,12/13/2014 11:49:12,1501801201,12/13/2014 11:48:59,false,neodev,1,26012376,USA,NY,New York,198.199.121.202,hello,hello,hello,http://wsj.com/articles/bret-stephens/,www.wsj.com/articles/bret-stephens
625927718,12/13/2014 12:17:02,1501819717,12/13/2014 12:12:47,false,elite,1,28798993,USA,IN,Warsaw,184.1.136.10,conservative,forward,strong,http://saintpetersblog.com/archives/170659/,http://www.saintpetersblog.com/archives/170659
625927718,12/13/2014 12:51:10,1501841031,12/13/2014 12:50:14,false,instagc,1,21214762,USA,NY,Staten Island,108.21.226.48,ssdf,sdf,sdaf,http://sfd.com/,sfd.com
625927718,12/13/2014 12:56:42,1501844828,12/13/2014 12:54:36,false,neodev,1,29931127,USA,UT,Providence,206.190.147.213,power,better,Obama,http://bostonglobe.com/opinion/2014/11/27/marco-rubio-gop-lone-with-rubio-gop-hope-immigration/h8cwU8NUh7SHUXb3HcRWQL/story.html,http://www.bostonglobe.com/opinion/2014/11/27/marco-rubio-gop-lone-with-rubio-gop-hope-immigration/h8cwU8NUh7SHUXb3HcRWQL/story.html
625927718,12/13/2014 13:52:23,1501884126,12/13/2014 13:50:53,false,instagc,1,18386513,USA,TN,Kingston,98.70.115.181,diligent,electable,youthful,http://nationaljournal.com/against-the-grain/why-marco-rubio-should-be-the-gop-s-presidential-front-runner-20141202/,http://www.nationaljournal.com/against-the-grain/why-marco-rubio-should-be-the-gop-s-presidential-front-runner-20141202
625927718,12/13/2014 14:25:39,1501907977,12/13/2014 14:23:08,false,neodev,1,30847581,USA,CA,Fremont,64.62.198.231,Editorials,Editorials,columns,http://nytimes.com/pages/opinion/,www.nytimes.com/pages/opinion/
625927718,12/13/2014 14:44:44,1501922045,12/13/2014 14:44:13,false,instagc,1,20871081,USA,KY,Florence,66.42.171.44,bold,brilliant,spunky,http://cnn.com/2014/06/25/politics/rubio-above-the-noise/CNN/,www.cnn.com/2014/06/25/politics/rubio-above-the-noise/CNN
625927718,12/13/2014 14:46:11,1501923058,12/13/2014 14:45:25,false,clixsense,1,6574449,USA,NY,Lockport,69.204.2.158,pragmatic,latino,refreshing,http://bostonglobe.com/opinion/2014/11/27/marco-rubio-gop-lone-with-rubio-gop-hope-immigration/h8cwU8NUh7SHUXb3HcRWQL/story.html,http://www.bostonglobe.com/opinion/2014/11/27/marco-rubio-gop-lone-with-rubio-gop-hope-immigration/h8cwU8NUh7SHUXb3HcRWQL/story.html
625927718,12/13/2014 15:58:43,1501974980,12/13/2014 15:57:40,false,neodev,1,30895482,USA,NY,New York,107.170.17.131,creative,angry,careless,https://govtrack.us/congress/members/marco_rubio/412491/,https://www.govtrack.us/congress/members/marco_rubio/412491
625927718,12/13/2014 16:08:46,1501980664,12/13/2014 16:01:29,false,neodev,1,30553743,USA,NY,New York,207.172.169.184,opponents,involved,opponents,https://tasks.crowdflower.com/assignments/a6c9947a-628d-4bb0-9ff9-ce0ce3eae29a/,https://tasks.crowdflower.com/assignments/a6c9947a-628d-4bb0-9ff9-ce0ce3eae29a
625927718,12/13/2014 16:55:42,1502003587,12/13/2014 16:55:05,false,instagc,1,21539986,USA,"","",173.209.212.246,giddy,happy,joy,http://Marco.com/,Marco.com
625927718,12/13/2014 17:11:39,1502012553,12/13/2014 17:09:03,false,cotter,1,23755748,USA,MO,Pleasant Hill,71.0.213.86,pragmatic,conservative,piecemeal,http://bostonglobe.com/opinion/2014/11/27/marco-rubio-gop-lone-with-rubio-gop-hope-immigration/h8cwU8NUh7SHUXb3HcRWQL/story.html,http://www.bostonglobe.com/opinion/2014/11/27/marco-rubio-gop-lone-with-rubio-gop-hope-immigration/h8cwU8NUh7SHUXb3HcRWQL/story.html
625927718,12/13/2014 17:13:40,1502013650,12/13/2014 17:07:11,false,points4rewards,1,28703583,USA,"","",97.73.84.64,prominent,charismatic,strategic,http://usnews.com/news/articles/2014/05/27/marco-rubios-roll-of-the-dice/,http://www.usnews.com/news/articles/2014/05/27/marco-rubios-roll-of-the-dice
625927718,12/13/2014 18:32:34,1502047340,12/13/2014 18:30:42,false,instagc,1,25990856,USA,NV,Las Vegas,98.160.220.169,passionate,persuasive,driven,http://nytimes.com/2009/05/27/us/politics/27websotomayor.html?pagewanted=all&_r=0,http://www.nytimes.com/2009/05/27/us/politics/27websotomayor.html?pagewanted=all&_r=0
